Y,X,id,typeKnoop
487476.41,121726.550000001,"14027763",Uitlaat gemengde overstort
491947.260000003,115072.010000002,"14027787",Uitlaat vuilwater nooduitlaat
486182.199999999,119116.100000001,"14028113",(externe) Overstortput
483085.110000002,118299.25,"14028356",Uitlaat vuilwater nooduitlaat
489620.030000004,123959.399999999,"14028546",Uitlaat gemengde overstort
486696.260000004,120607.57,"14028583",(externe) Overstortput
488580.310000002,120339.140000001,"14028699",Uitlaat gemengde overstort
487844.390000004,120982.329999998,"14028745",Uitlaat gemengde overstort
486448.65,121533.670000002,"14029030",(externe) Overstortput
485082.900000001,113611.899999999,"14029227",Uitlaat vuilwater nooduitlaat
489095.379999999,120767.539999999,"14029283",Uitlaat gemengde overstort
484215.160000001,120157.309999999,"14029355",(externe) Overstortput
491379.810000002,122714.940000001,"14029550",Uitlaat vuilwater nooduitlaat
486361.940000002,114035.780000001,"14029604",Uitlaat vuilwater nooduitlaat
485148.3,113634.899999998,"14029999",Uitlaat vuilwater nooduitlaat
487728.250000002,122791.620000001,"14030030",Uitlaat vuilwater nooduitlaat
487562.71,121144.66,"14030085",(externe) Overstortput
488128.880000001,121019.390000001,"14030357",Uitlaat gemengde overstort
483294.800000001,115167.399999999,"14030366",Uitlaat vuilwater nooduitlaat
486477.4028,122241.824700002,"14030480",Uitlaat gemengde overstort
488770.690000002,125492.420000002,"14030564",Uitlaat vuilwater nooduitlaat
487172.690000001,126011.920000002,"14030707",Uitlaat vuilwater nooduitlaat
484892.7,120553.57,"14031173",Uitlaat gemengde overstort
487220.590000003,125872.100000001,"14031294",Uitlaat vuilwater nooduitlaat
492817.190000003,121235.780000001,"14031409",Uitlaat gemengde overstort
488193.453899998,119636.0035,"14031542",(externe) Overstortput
492345.070000003,117073.93,"14031563",Uitlaat vuilwater nooduitlaat
487092.9,119637.300000001,"14031584",(externe) Overstortput
484844.550000004,122615.010000002,"14031699",(externe) Overstortput
488019.18,120928.329999998,"14031721",Uitlaat gemengde overstort
484817.130000001,122959.57,"14031806",Uitlaat gemengde overstort
486338.572700003,119474.833299998,"14031889",(externe) Overstortput
488387.579999999,120805.719999999,"14031944",(externe) Overstortput
486918.5,113540.399999999,"14032052",Uitlaat vuilwater nooduitlaat
487487.850000001,121107.510000002,"14032253",(externe) Overstortput
491803.410000001,122859.649999998,"14032295",Uitlaat vuilwater nooduitlaat
491999.540000001,121878.629999999,"14032411",Uitlaat vuilwater nooduitlaat
485685.690000004,121327.710000001,"14032581",Interne Overstortput
487383.270700002,122056.907900002,"14032653",Uitlaat gemengde overstort
488111.370000002,120409.629999999,"14032763",Uitlaat gemengde overstort
485774.399999998,120896.199999999,"14032942",Uitlaat gemengde overstort
486946.100000002,120236.600000001,"14032974",(externe) Overstortput
483932.0,116049.899999998,"14033215",Uitlaat vuilwater nooduitlaat
484160.010000003,114825.109999999,"14033240",Uitlaat vuilwater nooduitlaat
490560.000000003,122927.600000002,"14033339",Uitlaat vuilwater nooduitlaat
486858.890000001,122785.420000002,"14033404",Uitlaat gemengde overstort
484252.499999999,114787.699999999,"14033486",Uitlaat vuilwater nooduitlaat
489643.329999999,123864.030000001,"14033703",(externe) Overstortput
486826.37,122754.870000001,"14033763",(externe) Overstortput
486047.690000002,122582.640000001,"14033846",(externe) Overstortput
489290.300000004,125358.5,"14033915",(externe) Overstortput
484862.000000001,114506.699999999,"14033972",Uitlaat vuilwater nooduitlaat
488832.559999999,128797.41,"14034052",Uitlaat vuilwater nooduitlaat
492506.5125,122130.830200002,"14034114",Interne Overstortput
491512.930000002,126102.800000001,"14034170",Uitlaat vuilwater nooduitlaat
485098.170000003,117776.289999999,"14034408",Interne Overstortput
486296.97,122964.120000001,"14034412",(externe) Overstortput
482946.520000001,118564.109999999,"14034866",Uitlaat vuilwater nooduitlaat
492145.6,121352.5,"14034960",Uitlaat vuilwater nooduitlaat
488274.899999999,126470.579999998,"14035004",Uitlaat vuilwater nooduitlaat
483887.600000006,115096.600000001,"14035232",Uitlaat vuilwater nooduitlaat
479768.430000002,131720.719999999,"14035261",Uitlaat gemengde overstort
485209.100000001,113676.199999999,"14035509",Uitlaat vuilwater nooduitlaat
491448.39,126106.739999998,"14035611",Uitlaat vuilwater nooduitlaat
486902.559999998,120928.280000001,"14035870",Uitlaat gemengde overstort
486258.350000002,122198.649999998,"14035911",Uitlaat gemengde overstort
484028.590000002,121578.210000001,"14036088",Interne Overstortput
488544.739999999,117939.100000001,"14036144",Uitlaat vuilwater nooduitlaat
487031.57,120631.010000002,"14036362",Uitlaat gemengde overstort
489474.200000001,120100.949999999,"14036416",(externe) Overstortput
486727.200000001,113941.600000002,"14036632",Uitlaat vuilwater nooduitlaat
485920.809999999,122974.219999999,"14036834",Uitlaat gemengde overstort
483078.579999999,118561.370000001,"14036980",Uitlaat vuilwater nooduitlaat
488823.469999999,125698.219999999,"14037072",Uitlaat vuilwater nooduitlaat
485704.4,124835.5,"14037158",(externe) Overstortput
488263.24,120034.77,"14037487",Uitlaat gemengde overstort
487146.300000002,119898.800000001,"14037658",(externe) Overstortput
486983.159999999,121633.600000001,"14037799",Uitlaat gemengde overstort
492034.070000001,121866.870000001,"14037809",Uitlaat vuilwater nooduitlaat
487862.230000002,127842.68,"14037899",Uitlaat vuilwater nooduitlaat
488834.190000002,125602.27,"14038264",Uitlaat vuilwater nooduitlaat
481945.589999999,127901.25,"14038282",Uitlaat vuilwater nooduitlaat
486585.980000001,118960.23,"14038330",Uitlaat vuilwater nooduitlaat
486983.470000003,121632.57,"14038402",(externe) Overstortput
491560.879999999,120899.68,"14038472",Uitlaat gemengde overstort
486888.900000001,113565.600000001,"14038827",Uitlaat vuilwater nooduitlaat
